customer id,age,age group,gender,income/month,account balance,loyalty score,education level,products owned,type of campaign(s),duration of campaign(s) (days),total ad spend,product type advertised,prev campaign success,product cost,has customer bought product,fb impressions,fb clicks,insta impressions,insta clicks,tw impressions,tw clicks,total clicks,total impressions,CTR,uses internet banking,has_loan,total_withdrawals,total_deposits,transaction_count,Facebook,Twitter,Instagram,Email
1,30,30-39,0,7375.47,15087.96,161.7615806,0,"['Y', 'W', 'Z', 'X']","['Twitter', 'Email']",15,411.8336525,C,No,300,0,145,6,83,4,103,0,10,331,0.03,0,0,840.1316038,861.1835902,3,1,0,1,1
2,61,60-69,1,11362.41,34608.62,648.0417572,0,"['Y', 'W']","['Facebook', 'Instagram', 'Twitter', 'Email']",15,285.7537665,C,No,300,0,31,2,33,2,41,0,4,105,0.038,0,0,337.2596417,279.0839228,12,1,0,1,0
3,65,60-69,1,11641.11,33666.86,626.8863734,1,"['Y', 'W']","['Twitter', 'Facebook', 'Instagram', 'Email']",15,850.9355853,B,No,200,0,36,2,19,0,21,1,3,76,0.039,1,0,165.1821145,154.148865,13,1,1,0,1
4,43,40-49,1,8720.3,22831.56,666.7453012,0,['Z'],"['Twitter', 'Facebook']",15,704.1394831,B,No,200,0,82,9,76,11,73,5,25,231,0.108,0,0,834.2584365,909.4909062,7,1,1,1,1
5,67,60-69,0,11581.67,36828.67,427.4270806,0,"['W', 'Z']","['Instagram', 'Email']",15,815.4604826,A,No,100,0,18,1,28,1,17,1,3,63,0.048,0,1,257.6340083,0,14,1,1,1,1
6,59,50-59,1,11538.51,33687.18,694.9916107,1,['X'],"['Facebook', 'Twitter']",15,701.9413309,B,Yes,200,0,33,3,43,3,48,0,6,124,0.048,0,0,344.9618167,475.5831857,12,1,0,1,1
7,40,40-49,1,7120.16,19863.89,471.2496796,0,"['Y', 'Z', 'X']","['Twitter', 'Instagram']",15,348.6973363,E,No,500,0,125,17,127,24,78,14,55,330,0.167,0,0,528.6332603,702.8745612,6,1,1,1,1
8,34,30-39,1,7382.67,17991.61,380.8172037,1,[],"['Twitter', 'Instagram', 'Facebook']",15,708.0012706,D,No,400,0,122,6,115,8,78,5,19,315,0.06,0,0,636.861382,599.5415777,4,1,1,1,0
9,31,30-39,0,6675.57,12749.77,183.3630045,0,"['Y', 'X', 'Z', 'W']",['Instagram'],15,219.683825,A,Yes,100,1,112,10,116,12,132,13,35,360,0.097,0,0,739.6623766,655.1494521,3,1,1,1,0
10,38,30-39,1,7634.39,20940.62,573.5041246,0,['Y'],['Twitter'],15,724.6976357,D,Yes,400,0,116,5,71,12,100,19,36,287,0.125,0,1,761.701003,711.0530742,5,1,1,1,0
11,41,40-49,0,7908.77,17992.89,195.5583814,0,[],"['Twitter', 'Instagram', 'Facebook', 'Email']",15,444.556456,C,No,300,0,94,2,71,13,68,5,20,233,0.086,0,0,720.3486086,622.7349644,6,1,1,1,0
12,34,30-39,0,7658.03,15350.67,117.0741002,1,"['X', 'Z']","['Instagram', 'Twitter']",15,742.1811549,E,Yes,500,0,90,3,130,22,96,20,45,316,0.142,0,0,915.6160826,727.5211995,4,1,1,1,1
13,62,60-69,0,11350.96,37819.16,281.4351695,2,"['Z', 'Y']","['Twitter', 'Email']",15,438.8948365,E,No,500,0,40,1,42,0,38,1,2,120,0.017,0,0,318.7492635,283.6774632,12,1,1,0,0
14,53,50-59,1,8943.46,24111.93,613.4520326,0,"['W', 'Y', 'X']","['Facebook', 'Instagram', 'Email']",15,804.169254,E,No,500,0,66,3,68,5,52,6,14,186,0.075,0,0,476.1703261,601.0252121,10,1,1,1,0
15,59,50-59,0,10272.46,31172.73,559.3767335,1,"['W', 'Z', 'Y', 'X']","['Twitter', 'Instagram', 'Facebook']",15,427.6915034,E,Yes,500,0,39,3,38,3,39,1,7,116,0.06,1,1,497.322692,560.6240352,12,1,1,1,0
16,22,20-29,1,5872.26,10292.17,461.114777,0,[],"['Instagram', 'Email']",15,611.588069,C,Yes,300,0,189,44,142,25,103,23,92,434,0.212,0,0,769.8615415,752.7333436,2,1,1,1,1
17,33,30-39,0,6230.69,16111.24,243.8232504,1,"['W', 'X', 'Y']",['Twitter'],15,644.2357124,C,No,300,0,99,19,107,23,150,17,59,356,0.166,1,0,589.6361082,505.0547062,4,1,1,1,1
18,65,60-69,1,11106.04,34892.86,501.9255328,0,"['W', 'Z', 'Y']","['Twitter', 'Instagram', 'Facebook']",15,426.5729893,C,No,300,0,19,1,23,0,37,2,3,79,0.038,0,0,270.9010533,156.2009394,13,1,1,0,0
19,23,20-29,1,5744.73,11280.47,438.7756025,0,[],"['Twitter', 'Facebook', 'Instagram', 'Email']",15,570.9451907,D,Yes,400,0,132,17,172,42,126,6,65,430,0.151,0,0,598.2242214,635.47149,2,1,1,1,0
20,34,30-39,1,7932.04,17451.56,476.4952391,1,"['W', 'X', 'Y', 'Z']","['Instagram', 'Facebook', 'Email']",15,302.1804654,A,Yes,100,0,139,7,118,7,101,19,33,358,0.092,0,0,970.2989863,828.7516401,4,1,1,1,0
21,25,20-29,0,6221.27,11750.84,145.2679092,0,['Y'],"['Twitter', 'Facebook', 'Instagram', 'Email']",15,800.6980529,B,Yes,200,0,167,16,166,6,131,27,49,464,0.106,0,1,625.9437598,912.0703474,2,1,1,1,0
22,54,50-59,0,11418.51,33950.54,271.8386029,1,['X'],"['Instagram', 'Facebook', 'Twitter', 'Email']",15,793.5688374,C,No,300,1,69,5,42,3,65,3,11,176,0.062,0,0,873.5804452,599.4732543,10,1,1,1,1
23,49,40-49,1,8188.16,23569.83,384.9873281,3,['Y'],"['Twitter', 'Email']",15,556.7851547,C,Yes,300,0,69,5,97,7,83,2,14,249,0.056,1,1,497.4103862,422.3241611,8,1,1,1,0
24,28,20-29,0,8009.73,20696.55,221.9206791,0,[],"['Twitter', 'Instagram', 'Facebook', 'Email']",15,708.0427168,C,No,300,0,124,12,111,1,155,2,15,390,0.038,0,0,1063.705296,955.8654391,2,1,1,1,0
25,59,50-59,0,11139.99,30657.99,366.0750844,0,"['Z', 'X', 'Y']","['Facebook', 'Instagram', 'Twitter']",15,559.1993705,D,Yes,400,0,51,1,55,2,41,4,7,147,0.048,0,0,264.5918592,603.6820968,12,1,1,1,1
26,43,40-49,1,9654.16,25531.79,611.6845884,0,"['X', 'W']","['Instagram', 'Twitter']",15,677.4900701,A,Yes,100,0,102,12,93,2,110,6,20,305,0.066,0,0,970.1205576,951.8939484,7,1,1,1,0
27,22,20-29,1,4464.83,5770.79,343.2052806,1,"['Y', 'Z']","['Twitter', 'Instagram', 'Facebook', 'Email']",15,327.7837769,A,Yes,100,0,162,47,173,44,120,28,119,455,0.262,0,0,253.6600778,334.1735937,2,1,1,1,0
28,42,40-49,1,8327.38,22842.02,443.4964146,3,"['Y', 'X', 'W']","['Twitter', 'Facebook', 'Instagram', 'Email']",15,560.1445111,D,Yes,400,0,86,0,87,1,115,20,21,288,0.073,1,1,664.4811789,759.078979,7,0,1,1,0
29,56,50-59,1,10452.18,31819.03,585.822015,2,"['Y', 'W']","['Instagram', 'Email']",15,880.0687526,D,Yes,400,0,48,1,66,3,70,3,7,184,0.038,1,1,527.5461892,544.1775619,11,1,1,1,0
30,51,50-59,0,10472.93,32758.59,243.4225665,0,"['W', 'X', 'Z']","['Twitter', 'Facebook', 'Instagram', 'Email']",15,760.5043346,C,Yes,300,0,69,3,70,8,53,1,12,192,0.062,0,0,697.7131358,890.6632874,9,1,1,1,0
31,54,50-59,1,10894.57,28117.53,509.5971072,0,[],"['Twitter', 'Facebook', 'Instagram', 'Email']",15,343.196969,C,No,300,0,40,4,78,1,44,4,9,162,0.056,0,0,556.3785266,737.5905633,10,1,1,1,1
32,34,30-39,0,6498.56,12297.32,284.6431038,1,['Z'],['Facebook'],15,653.3626815,A,Yes,100,0,134,7,119,15,142,27,49,395,0.124,0,0,534.6487576,768.8907139,4,1,1,1,0
33,44,40-49,1,7286.91,16344.95,401.3681257,1,[],"['Instagram', 'Email']",15,563.731212,A,Yes,100,0,106,16,70,10,77,1,27,253,0.107,1,0,670.8840747,534.0545085,7,1,1,1,0
34,37,30-39,0,8421.63,21233.04,439.2456134,0,"['W', 'Y', 'Z', 'X']","['Facebook', 'Instagram']",15,261.1345484,E,No,500,0,113,8,75,13,78,10,31,266,0.117,0,1,854.880528,786.4541919,5,1,1,1,1
35,53,50-59,0,11239.23,30159.74,227.4770516,0,[],['Facebook'],15,581.6988395,E,No,500,0,60,2,57,4,42,2,8,159,0.05,0,1,622.9847229,609.0732576,10,1,1,1,1
36,63,60-69,0,11218.69,38736.65,403.8351834,1,[],"['Twitter', 'Instagram', 'Facebook', 'Email']",15,779.3332412,C,Yes,300,0,37,1,25,1,23,0,2,85,0.024,0,1,316.2454776,382.4784245,13,1,0,1,1
37,66,60-69,0,11479.72,34615.85,261.8642476,0,['Y'],"['Twitter', 'Instagram', 'Email']",15,260.582808,D,Yes,400,0,19,0,34,1,27,1,2,80,0.025,0,0,88.41064033,210.1813066,14,0,1,1,0
38,47,40-49,0,8453.17,21629.05,247.6390705,0,['W'],"['Instagram', 'Facebook']",15,760.7067739,B,No,200,0,70,9,103,9,104,5,23,277,0.083,0,0,735.2227074,625.8822806,8,1,1,1,1
39,66,60-69,1,13009.38,40846.07,824.1370572,1,['X'],"['Facebook', 'Instagram', 'Twitter', 'Email']",15,203.6159384,B,No,200,0,32,1,28,1,20,0,2,80,0.025,0,0,316.349249,269.5162196,14,1,0,1,0
40,66,60-69,0,11992.03,33661.4,350.9604733,3,['Z'],"['Facebook', 'Email']",15,317.1002204,E,Yes,500,0,31,0,25,1,33,1,2,89,0.022,1,1,105.7936513,309.6236873,14,0,1,1,1
41,23,20-29,1,6053.04,13426.67,576.5559752,1,"['W', 'Y', 'Z', 'X']","['Facebook', 'Email']",15,777.779052,D,No,400,0,146,9,164,3,187,5,17,497,0.034,1,0,957.608899,828.5759183,2,1,1,1,1
42,63,60-69,0,10831.15,35462.32,347.5447901,1,['Z'],"['Twitter', 'Facebook']",15,265.0106809,B,No,200,1,27,2,43,0,35,2,4,105,0.038,0,0,231.9237087,386.0114253,13,1,1,0,0
43,56,50-59,1,10309.6,32938.48,646.5762882,1,['Y'],['Facebook'],15,217.0728245,A,Yes,100,0,46,1,55,4,45,1,6,146,0.041,0,1,501.7396228,410.6032902,11,1,1,1,0
44,24,20-29,0,6643.58,18472.01,0,1,['W'],['Facebook'],15,546.1376467,D,No,400,0,136,6,111,11,157,7,24,404,0.059,0,0,949.3951346,732.2014195,2,1,1,1,1
45,54,50-59,1,11000.11,31238.02,612.6845279,1,['Y'],"['Twitter', 'Facebook']",15,766.6816756,B,Yes,200,0,74,4,42,1,56,1,6,172,0.035,1,0,725.8614152,863.3159675,10,1,1,1,0
46,26,20-29,1,4998.59,10356.89,400.9625298,0,"['W', 'X', 'Z']","['Instagram', 'Facebook', 'Twitter']",15,338.8559324,B,No,200,0,128,31,166,35,142,37,103,436,0.236,0,0,467.0484939,368.8063714,2,1,1,1,1
47,59,50-59,1,11975.5,35278.32,643.8030277,1,"['Y', 'X', 'W', 'Z']",['Facebook'],15,314.8411857,E,No,500,0,31,1,39,3,42,3,7,112,0.062,0,1,324.9359878,654.9248503,12,1,1,1,0
48,65,60-69,0,12331.24,38416.01,422.8201393,0,"['X', 'W']","['Facebook', 'Instagram', 'Twitter']",15,435.7928279,D,Yes,400,0,28,2,35,2,21,0,4,84,0.048,0,0,318.4230545,213.4764453,13,1,0,1,1
49,25,20-29,1,5527.34,9873.82,405.3810446,2,[],"['Instagram', 'Twitter', 'Facebook', 'Email']",15,367.3276418,B,No,200,0,152,22,99,23,103,11,56,354,0.158,1,0,558.3159026,547.5511738,2,1,1,1,0
50,33,30-39,1,5885.16,14833.52,317.8694889,1,['W'],"['Instagram', 'Twitter', 'Facebook']",15,313.2483034,A,No,100,0,144,24,90,0,93,11,35,327,0.107,0,0,614.1409731,568.6535019,4,1,1,0,0
51,41,40-49,1,8513.97,21298.35,477.9114809,1,[],"['Facebook', 'Instagram', 'Twitter']",15,618.1377446,C,No,300,0,85,13,119,13,70,9,35,274,0.128,0,0,894.9803661,815.7444725,6,1,1,1,1
52,55,50-59,1,10200.88,31372.29,550.1347671,0,"['Y', 'W', 'X']","['Instagram', 'Facebook']",15,349.3171241,D,Yes,400,0,50,2,68,4,52,1,7,170,0.041,0,0,698.581448,478.4564753,10,1,1,1,0
53,29,20-29,0,5225.44,8137.64,149.486471,1,"['Z', 'Y']","['Instagram', 'Twitter', 'Facebook']",15,576.381694,B,Yes,200,0,108,11,162,3,107,5,19,377,0.05,0,0,439.5241345,371.5276628,2,1,1,1,1
54,25,20-29,1,6725.67,12898.45,516.7235745,0,"['X', 'W']","['Instagram', 'Email']",15,461.6573803,A,No,100,0,120,23,106,23,139,27,73,365,0.2,0,0,842.5810296,887.1264442,2,1,1,1,1
55,31,30-39,0,7573.77,18188.42,120.221484,0,[],"['Instagram', 'Facebook', 'Twitter']",15,392.4446631,B,Yes,200,0,124,12,132,10,98,14,36,354,0.102,0,0,781.2714858,1108.495979,3,1,1,1,1
56,64,60-69,0,11772.61,35137.62,160.6360825,0,"['Z', 'X', 'Y']","['Twitter', 'Instagram', 'Facebook']",15,693.0423782,A,No,100,0,24,0,22,0,33,1,1,79,0.013,0,0,333.4883656,320.4288852,13,0,1,0,0
