age,age group,gender,income/month,account balance,loyalty score,education level,Facebook,Twitter,Email,Instagram,prev campaign success,total_withdrawals,total_deposits,net_transaction,transaction_count,housing,loan,job grouped_retired,job grouped_self employed/entrepreneur,job grouped_student,job grouped_unemployed,job grouped_unknown,job grouped_white collar,marital_married,marital_single,Cluster,PCA1,PCA2
67,4,1,12223,7018,721,1,0,1,0,1,0,12021.51,1172.59,-10848.92,6,1,0,0,0,0,0,0,1,1,0,0,-0.266694089992783,2.15544425766314
26,0,0,11316,927,700,3,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,3,-1.7798231787678496,-2.2297240788006074
67,4,1,4493,8729,911,2,1,1,0,1,0,10258.22,11733.78,1475.56,5,1,1,0,1,0,0,0,0,1,0,0,0.9901200837951181,2.2269890097308043
52,3,0,14545,1556,291,0,0,0,1,1,1,9223.0,8588.89,-634.11,3,1,0,0,0,0,0,0,0,1,0,0,0.05698468439783065,0.9160582618891927
45,2,0,12496,6967,487,3,0,0,1,1,0,6524.91,14954.24,8429.33,5,0,0,0,0,0,0,1,0,0,1,2,1.5790651605015935,-0.13179710712349224
33,1,0,12621,5814,96,3,1,1,0,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,3,-1.8879538779690341,-1.0713286781898983
45,2,0,4762,8872,608,0,1,1,1,1,1,3588.25,23512.05,19923.8,5,1,1,0,0,0,0,0,1,0,1,2,2.9484082686256325,-0.2165423923160427
66,4,0,9586,3267,432,0,1,1,1,0,1,6900.54,16131.51,9230.97,6,1,0,0,1,0,0,0,0,0,0,2,2.008262548785287,1.9703815139605088
21,0,1,6918,2859,52,1,0,0,0,1,0,5472.76,6949.42,1476.66,4,1,0,1,0,0,0,0,0,1,0,3,0.11107497816554737,-2.007291897379502
47,2,0,14131,3239,184,0,1,1,0,1,1,5447.54,12808.51,7360.97,5,1,0,0,0,0,0,0,0,0,1,2,1.3906944007008102,-0.14477068916273989
24,0,0,11851,2727,217,3,1,1,1,1,0,1746.42,4728.5,2982.08,3,1,0,0,0,0,0,0,1,0,0,3,-0.36391348992648465,-2.134114107893404
63,4,1,12821,1036,658,2,1,1,1,1,1,9133.05,868.99,-8264.06,4,1,0,0,0,0,0,0,1,0,1,0,-0.719726142037896,1.6397671079013096
63,4,0,9626,9289,634,2,0,1,0,1,0,3017.75,19637.28,16619.53,5,1,0,0,0,0,0,0,0,1,0,2,2.260685188975881,2.006616548348303
27,0,0,7325,3189,659,0,1,1,0,1,1,4077.4,27857.08,23779.68,6,1,0,0,0,0,0,0,0,1,0,2,3.810056082767199,-1.7796763803282265
68,4,0,3298,5864,27,3,1,1,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,-1.9524653085634005,2.216511448684793
69,4,1,5608,1737,845,1,1,0,1,0,0,9060.74,3771.11,-5289.63,6,1,0,1,0,0,0,0,0,1,0,0,0.07671825173029205,2.384291966240966
50,3,0,7235,4058,973,3,0,1,0,1,0,5153.71,18165.19,13011.48,5,1,0,0,0,0,0,0,1,0,1,2,2.1471920005890306,0.5303676591117605
32,1,1,13089,8359,515,0,0,0,1,1,1,8071.1,18903.92,10832.82,6,1,0,0,0,0,0,0,0,1,0,2,2.3908202019450813,-1.0410272508866538
23,0,1,8558,7358,991,0,0,1,0,0,0,968.47,23746.08,22777.61,6,1,0,1,0,0,0,0,0,1,0,2,3.165922244954127,-1.9397767644940775
52,3,1,4008,1675,163,3,1,1,0,0,1,0.0,20256.11,20256.11,3,1,0,0,0,0,0,0,1,1,0,2,1.8564896271467985,0.9939489459556952
64,4,0,5680,8256,677,1,1,0,0,0,0,2387.82,11043.7,8655.88,4,1,1,0,0,0,0,0,0,1,0,1,0.7156459603926857,2.074218831933816
29,0,1,11793,9770,378,0,1,1,0,0,1,0.0,11227.79,11227.79,3,1,0,0,0,0,0,0,1,1,0,3,0.5583861220857252,-1.7640727197772836
33,1,0,7619,3136,826,2,0,1,1,1,1,4114.33,0.0,-4114.33,2,1,1,0,0,0,0,0,0,0,1,3,-1.2845783600162282,-1.346562134573303
24,0,1,10310,2764,188,2,1,0,1,1,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,3,-1.9194650779292102,-1.9918906858220615
58,3,0,11926,3898,140,0,0,0,1,1,0,4203.08,23231.37,19028.29,5,1,1,1,0,0,0,0,0,1,0,2,2.7380749953289234,1.342493293420333
39,1,0,9742,7292,338,3,1,0,0,1,0,1233.21,7285.04,6051.83,4,1,0,0,0,0,0,0,1,1,0,3,0.21117814349339495,-0.7120899463918765
38,1,0,10245,6011,681,1,1,1,0,1,0,3447.9,0.0,-3447.9,1,1,0,0,0,0,0,0,1,0,1,3,-1.5700146799331995,-1.1590766744111218
28,0,1,4850,6379,954,3,0,1,0,0,0,10081.13,15070.4,4989.27,5,1,1,0,1,0,0,0,0,1,0,0,1.5375604834254764,-1.7131741284942261
63,4,1,10880,4714,878,2,0,1,1,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,-1.8603299861114704,1.5928963348126113
43,2,1,5775,4209,151,3,1,0,1,0,1,6923.93,3567.2,-3356.73,4,1,1,0,0,0,0,0,0,0,1,0,-0.3074940491077604,-0.24784727863017858
35,1,1,11769,9372,910,1,1,1,1,1,1,7133.58,0.0,-7133.58,2,0,1,0,0,0,0,0,0,1,0,3,-1.4566678554137569,-0.9151378875906111
21,0,1,6561,309,278,0,0,1,1,0,1,6626.93,6685.62,58.69,5,1,0,0,0,0,0,0,1,1,0,3,0.38866811693778625,-2.1216889382875954
53,3,0,4766,256,353,3,1,0,1,1,1,6686.89,1204.43,-5482.46,5,1,1,0,0,0,0,0,1,1,0,0,-0.45937246429936474,1.0321501307379732
41,2,0,3109,1418,788,0,1,0,0,1,1,3144.47,2437.17,-707.3,2,1,0,0,0,0,0,0,0,1,0,1,-1.0322397148017548,-0.12245530870279267
47,2,1,6973,286,694,2,1,0,0,1,0,11214.18,12098.76,884.58,6,1,0,0,0,0,0,0,1,1,0,0,1.357554849084914,0.23983694007611667
24,0,1,8021,8335,419,2,1,1,1,0,1,3432.44,7311.81,3879.37,3,1,0,0,0,0,0,0,0,0,0,3,-0.014911282692265932,-2.1000159960583695
60,4,0,13120,1786,288,0,0,0,1,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,-1.9624456304968598,1.7815703893070916
35,1,0,3333,6657,794,0,1,1,0,0,0,10060.05,12354.1,2294.05,6,0,0,0,0,0,0,0,0,1,0,0,1.4252058894494464,-0.8670980990769448
43,2,0,3467,291,184,3,0,1,0,1,0,837.78,15313.64,14475.86,4,1,0,0,0,0,0,0,1,0,0,2,1.4647378730800127,-0.12056855569087452
57,3,0,12182,2656,723,2,1,1,1,1,0,4931.62,11697.48,6765.86,6,1,0,0,0,0,0,0,1,0,1,2,1.454726799262661,0.8507613162143803
60,4,1,5211,2126,856,1,1,1,1,0,0,7857.93,13571.92,5713.99,5,1,0,0,0,0,0,0,1,0,0,0,1.3511125599418095,1.7067620963520396
50,3,1,4812,6919,350,0,1,1,1,1,1,1886.05,28573.93,26687.88,6,1,0,0,0,0,0,0,1,1,0,2,3.855026775244229,0.8773081737512776
