customer_id,age,gender,annual_income,education_level,bank_signup_date,loyalty_program,loyalty_points,loyalty_last_active,bank_last_active,acquisition_channel,customer_acquisition_cost,yearly_average_customer_revenue,customer_tenure_days
CUST000001,32,Female,70505,High School,2021-12-28,1,188,2025-02-07,2025-03-11,Affiliate,216.77,2843.38,1189
CUST000002,21,Male,51326,High School,2015-11-28,1,384,2025-02-12,2025-03-10,Online,315.89,4748.88,3411
CUST000003,53,Male,76033,Bachelor,2018-07-07,0,0,,2025-03-25,Branch,433.51,9304.27,2459
CUST000004,49,Female,117783,Associate,2023-10-13,1,76,2025-01-08,2025-03-16,Direct Mail,386.64,2483.88,535
CUST000005,46,Female,48923,High School,2024-07-27,1,54,2025-02-20,2025-03-25,Online,272.46,581.82,247
CUST000006,35,Female,48923,Bachelor,2019-09-09,1,450,2025-03-04,2025-03-27,Online,268.78,4381.13,2030
CUST000007,31,Female,121139,Bachelor,2021-09-26,1,707,2025-02-09,2025-03-19,Referral,99.94,6876.51,1282
CUST000008,29,Male,80725,Master,2025-02-09,0,0,,2025-03-11,Online,299.02,107.42,50
CUST000009,72,Female,43492,Bachelor,2020-05-04,1,309,2025-03-13,2025-03-21,Direct Mail,390.48,4699.85,1792
CUST000010,22,Male,72140,High School,2021-03-20,0,0,,2025-03-24,Direct Mail,499.24,3570.01,1472
CUST000011,21,Female,43624,Associate,2017-10-05,0,0,,2025-03-30,Referral,122.06,6821.31,2734
CUST000012,29,Female,43574,PhD,2015-10-24,1,196,2022-12-05,2025-03-03,Online,347.59,4700.21,3446
CUST000013,45,Male,62073,Bachelor,2025-02-27,1,4,2025-03-18,2025-03-18,Online,280.44,84.97,32
CUST000014,47,Female,21129,Bachelor,2024-08-09,0,0,,2025-03-04,Branch,482.82,325.43,234
CUST000015,82,Male,23216,High School,2022-05-07,1,93,2024-05-13,2025-03-30,Branch,474.86,1319.58,1059
CUST000016,21,Male,41520,Bachelor,2023-08-15,1,93,2025-02-21,2025-03-08,Online,183.88,1008.59,594
CUST000017,43,Female,33145,High School,2021-03-28,1,164,2025-01-11,2025-03-29,Online,149.84,2128.65,1464
CUST000018,71,Female,64357,Bachelor,2015-04-24,1,943,2025-02-07,2025-03-01,Referral,146.71,6113.11,3629
CUST000019,46,Male,34929,Master,2021-12-27,0,0,,2025-03-29,Online,209.15,2412.44,1190
CUST000020,75,Male,27144,PhD,2016-05-11,1,321,2024-12-04,2025-03-02,Affiliate,291.08,4159.35,3246
CUST000021,53,Female,114452,Bachelor,2015-07-14,1,1530,2025-03-06,2025-03-07,Referral,149.11,12070.67,3548
CUST000022,18,Male,49128,Bachelor,2019-07-15,0,0,,2025-03-12,Online,167.71,4123.79,2086
CUST000023,38,Female,56888,Master,2017-09-14,0,0,,2025-03-07,Online,196.66,8454.96,2755
CUST000024,72,Male,26976,Bachelor,2016-07-17,1,252,2024-09-10,2025-03-15,Online,282.03,3225.64,3179
CUST000025,61,Male,41893,High School,2018-11-17,0,0,,2025-03-16,Online,294.23,5319.29,2326
CUST000026,53,Female,58136,Bachelor,2023-06-05,1,181,2023-10-10,2025-03-07,Online,195.58,1296.87,665
CUST000027,37,Female,30933,High School,2024-03-14,0,0,,2025-03-01,Direct Mail,532.41,632.62,382
CUST000028,45,Female,66365,Bachelor,2017-03-02,1,620,2025-01-20,2025-03-21,Online,207.73,7445.46,2951
CUST000029,61,Female,40731,Bachelor,2022-02-17,1,101,2025-03-11,2025-03-19,Online,326.49,2234.1,1138
CUST000030,31,Male,47535,Bachelor,2023-07-26,0,0,,2025-02-22,Referral,62.65,1038.27,614
CUST000031,29,Male,40710,Associate,2016-12-11,1,345,2025-01-06,2025-03-17,Branch,253.12,4235.77,3032
CUST000032,66,Male,138860,High School,2022-12-17,0,0,,2025-03-01,Online,171.39,2950.13,835
CUST000033,30,Male,54630,Bachelor,2020-04-27,1,320,2025-02-10,2025-03-15,Direct Mail,257.74,3966.4,1799
CUST000034,63,Male,32410,Master,2018-08-08,0,0,,2025-03-04,Online,274.44,3453.99,2427
CUST000035,62,Female,82980,Bachelor,2024-04-05,0,0,,2025-02-02,Referral,50.79,669.46,360
CUST000036,51,Male,29871,Associate,2021-11-26,1,172,2025-01-24,2025-03-07,Online,183.01,1850.89,1221
CUST000037,23,Female,61054,Master,2022-09-17,0,0,,2025-03-14,Affiliate,359.69,1515.14,926
CUST000038,76,Male,20645,Master,2024-10-21,1,11,2024-05-23,2025-03-08,Online,254.58,133.53,161
CUST000039,33,Male,28310,High School,2019-11-10,0,0,,2025-03-04,Referral,143.99,4073.96,1968
CUST000040,66,Female,60689,High School,2021-03-10,1,308,2025-03-08,2025-03-15,Referral,100.8,3086.88,1482
CUST000041,28,Male,79564,Bachelor,2022-05-18,0,0,,2025-03-03,Online,303.69,3617.71,1048
CUST000042,55,Male,59920,Master,2016-01-24,1,457,2025-02-03,2025-03-31,Referral,68.54,9006.56,3354
CUST000043,64,Male,51909,PhD,2017-07-22,1,655,2025-03-28,2025-03-31,Online,199.78,3432.03,2809
CUST000044,42,Female,47312,Master,2018-01-08,1,365,2023-09-01,2025-03-02,Online,135.65,4800.81,2639
CUST000045,26,Male,26260,Bachelor,2020-10-31,1,149,2025-02-10,2025-03-26,Online,296.63,2163.3,1612
CUST000046,23,Male,38375,Bachelor,2020-06-05,0,0,,2025-03-25,Referral,87.12,2155.69,1760
CUST000047,47,Female,43685,High School,2020-09-09,0,0,,2025-03-05,Online,195.32,3159.65,1664
CUST000048,55,Female,93306,High School,2024-01-25,0,0,,2025-03-31,Online,175.52,1810.62,431
CUST000049,28,Female,65309,Bachelor,2022-03-27,1,377,2022-08-27,2025-03-06,Referral,94.67,2223.67,1100
CUST000050,47,Female,22778,Bachelor,2021-10-11,1,120,2023-10-06,2025-03-31,Online,128.21,1839.53,1267
CUST000051,30,Female,64675,Bachelor,2018-06-21,1,297,2025-02-25,2025-03-13,Online,330.66,7014.85,2475
CUST000052,66,Female,45367,Bachelor,2021-09-06,0,0,,2025-03-28,Online,103.39,2006.26,1302
CUST000053,53,Male,39207,Associate,2023-03-23,0,0,,2025-02-07,Branch,461.03,1468.62,739
CUST000054,76,Male,74676,Bachelor,2018-11-04,1,297,2025-01-03,2025-03-07,Online,169.05,4838.41,2339
CUST000055,64,Male,92096,High School,2020-04-11,1,596,2025-01-18,2025-03-18,Branch,271.88,5841.86,1815
CUST000056,38,Male,87616,Bachelor,2017-07-21,1,569,2025-03-12,2025-03-28,Online,294.23,7120.56,2810
CUST000057,65,Male,36151,Bachelor,2015-05-06,0,0,,2025-03-14,Online,247.13,6174.2,3617
CUST000058,63,Male,47121,Bachelor,2021-07-20,0,0,,2025-03-27,Online,129.67,1555.03,1350
