customer id,age,gender,income/month,account balance,loyalty score,education level,type of campaign(s),prev campaign success,Transaction history,housing,loan,marital,job,has customer bought product,has customer churned
1,67,Male,12223,7018,721,Secondary,"['Instagram', 'Twitter']",No,"[[-55, 'Withdrawal', 3929.99], [-28, 'Withdrawal', 1441.75], [-26, 'Withdrawal', 3955.95], [-23, 'Withdrawal', 1945.98], [-21, 'Deposit', 1172.59], [-20, 'Withdrawal', 747.84]]",yes,no,married,management,No,No
2,26,Female,11316,927,700,Postgrad,"['Twitter', 'Instagram', 'Email']",Yes,[],yes,no,single,technician,Yes,No
3,67,Male,4493,8729,911,Tertiary,"['Facebook', 'Instagram', 'Twitter']",No,"[[-45, 'Deposit', 2801.75], [-41, 'Deposit', 8932.03], [-26, 'Withdrawal', 1470.7], [-8, 'Withdrawal', 3941.9], [-7, 'Withdrawal', 4845.62]]",yes,yes,married,entrepreneur,No,No
4,52,Female,14545,1556,291,Primary,"['Instagram', 'Email']",Yes,"[[-45, 'Withdrawal', 4267.88], [-23, 'Deposit', 8588.89], [-15, 'Withdrawal', 4955.12]]",yes,no,married,blue-collar,Yes,Yes
5,45,Female,12496,6967,487,Postgrad,"['Instagram', 'Email']",No,"[[-57, 'Withdrawal', 1938.57], [-55, 'Deposit', 8551.6], [-45, 'Withdrawal', 3629.65], [-28, 'Withdrawal', 956.69], [-17, 'Deposit', 6402.64]]",no,no,single,unknown,Yes,Yes
6,33,Female,12621,5814,96,Postgrad,"['Instagram', 'Facebook', 'Twitter']",Yes,[],yes,no,married,management,No,Yes
7,45,Female,4762,8872,608,Primary,"['Twitter', 'Instagram', 'Facebook', 'Email']",Yes,"[[-57, 'Deposit', 5397.63], [-41, 'Deposit', 6136.59], [-36, 'Deposit', 5714.48], [-28, 'Deposit', 6263.35], [-26, 'Withdrawal', 3588.25]]",yes,yes,single,management,No,No
8,66,Female,9586,3267,432,Primary,"['Facebook', 'Twitter', 'Email']",Yes,"[[-58, 'Withdrawal', 4065.76], [-38, 'Deposit', 8164.7], [-21, 'Deposit', 2317.93], [-17, 'Withdrawal', 2834.78], [-15, 'Deposit', 1981.13], [-14, 'Deposit', 3667.75]]",yes,no,divorced,entrepreneur,No,No
9,21,Male,6918,2859,52,Secondary,['Instagram'],No,"[[-55, 'Deposit', 1602.62], [-24, 'Deposit', 5346.8], [-14, 'Withdrawal', 3814.48], [-2, 'Withdrawal', 1658.28]]",yes,no,married,retired,Yes,Yes
10,47,Female,14131,3239,184,Primary,"['Twitter', 'Facebook', 'Instagram']",Yes,"[[-42, 'Withdrawal', 433.07], [-34, 'Withdrawal', 699.98], [-18, 'Deposit', 4959.25], [-14, 'Withdrawal', 4314.49], [-7, 'Deposit', 7849.26]]",yes,no,single,technician,No,Yes
11,24,Female,11851,2727,217,Postgrad,"['Twitter', 'Facebook', 'Instagram', 'Email']",No,"[[-51, 'Deposit', 1163.98], [-37, 'Deposit', 3564.52], [-13, 'Withdrawal', 1746.42]]",yes,no,divorced,admin.,Yes,Yes
12,63,Male,12821,1036,658,Tertiary,"['Instagram', 'Twitter', 'Facebook', 'Email']",Yes,"[[-47, 'Deposit', 868.99], [-36, 'Withdrawal', 4838.06], [-23, 'Withdrawal', 1115.68], [-7, 'Withdrawal', 3179.31]]",yes,no,single,admin.,No,Yes
13,63,Female,9626,9289,634,Tertiary,"['Instagram', 'Twitter']",No,"[[-54, 'Withdrawal', 1624.4], [-40, 'Deposit', 4865.2], [-33, 'Deposit', 9270.05], [-16, 'Deposit', 5502.03], [-8, 'Withdrawal', 1393.35]]",yes,no,married,technician,No,No
14,27,Female,7325,3189,659,Primary,"['Facebook', 'Instagram', 'Twitter']",Yes,"[[-58, 'Deposit', 3980.84], [-50, 'Withdrawal', 4077.4], [-39, 'Deposit', 2432.49], [-31, 'Deposit', 9524.14], [-19, 'Deposit', 2345.72], [-15, 'Deposit', 9573.89]]",yes,no,married,technician,Yes,No
15,68,Female,3298,5864,27,Postgrad,"['Twitter', 'Instagram', 'Facebook', 'Email']",Yes,[],yes,no,married,services,No,Yes
16,69,Male,5608,1737,845,Secondary,"['Facebook', 'Email']",No,"[[-52, 'Deposit', 173.32], [-43, 'Withdrawal', 4398.94], [-42, 'Withdrawal', 1279.62], [-41, 'Withdrawal', 411.52], [-35, 'Deposit', 3597.79], [-27, 'Withdrawal', 2970.66]]",yes,no,married,retired,No,No
17,50,Female,7235,4058,973,Postgrad,"['Twitter', 'Instagram']",No,"[[-60, 'Withdrawal', 3190.28], [-46, 'Deposit', 4236.53], [-39, 'Deposit', 7379.42], [-13, 'Withdrawal', 1963.43], [-12, 'Deposit', 6549.24]]",yes,no,single,admin.,No,Yes
